INFO 2026-07-07 07:57:11,158 autoreload 15304 22168 Watching for file changes with StatReloader
INFO 2026-07-07 09:00:02,733 basehttp 15304 27508 "GET /api/departments/ HTTP/1.1" 200 1133
INFO 2026-07-07 09:00:04,584 basehttp 15304 27620 "GET /api/users/ HTTP/1.1" 200 892
INFO 2026-07-07 09:00:04,592 basehttp 15304 27508 "GET /api/tickets/ HTTP/1.1" 200 1848
INFO 2026-07-07 09:00:04,610 basehttp 15304 27620 "GET /api/users/ HTTP/1.1" 200 892
INFO 2026-07-07 09:00:04,649 basehttp 15304 27508 "GET /api/tickets/ HTTP/1.1" 200 1848
INFO 2026-07-07 09:00:06,376 basehttp 15304 27508 "GET /api/users/ HTTP/1.1" 200 892
INFO 2026-07-07 09:00:06,393 basehttp 15304 27620 "GET /api/departments/ HTTP/1.1" 200 1133
INFO 2026-07-07 09:00:06,410 basehttp 15304 27180 "GET /api/users/ HTTP/1.1" 200 892
INFO 2026-07-07 09:00:06,449 basehttp 15304 26812 "GET /api/teams/ HTTP/1.1" 200 2186
INFO 2026-07-07 09:00:06,453 basehttp 15304 27620 "GET /api/departments/ HTTP/1.1" 200 1133
INFO 2026-07-07 09:00:06,515 basehttp 15304 26812 "GET /api/teams/ HTTP/1.1" 200 2186
INFO 2026-07-07 09:00:08,004 basehttp 15304 27620 "GET /api/users/ HTTP/1.1" 200 892
INFO 2026-07-07 09:00:08,019 basehttp 15304 26812 "GET /api/departments/ HTTP/1.1" 200 1133
INFO 2026-07-07 09:00:08,040 basehttp 15304 27620 "GET /api/users/ HTTP/1.1" 200 892
INFO 2026-07-07 09:00:08,063 basehttp 15304 26812 "GET /api/departments/ HTTP/1.1" 200 1133
INFO 2026-07-07 09:00:09,795 basehttp 15304 27620 "GET /api/departments/ HTTP/1.1" 200 1133
INFO 2026-07-07 09:00:09,802 basehttp 15304 27180 "GET /api/users/ HTTP/1.1" 200 892
INFO 2026-07-07 09:00:09,859 basehttp 15304 26812 "GET /api/teams/ HTTP/1.1" 200 2186
INFO 2026-07-07 09:00:09,859 basehttp 15304 27180 "GET /api/users/ HTTP/1.1" 200 892
INFO 2026-07-07 09:00:09,859 basehttp 15304 27620 "GET /api/departments/ HTTP/1.1" 200 1133
INFO 2026-07-07 09:00:09,908 basehttp 15304 26812 "GET /api/teams/ HTTP/1.1" 200 2186
INFO 2026-07-07 09:00:24,430 basehttp 15304 26812 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 09:00:55,053 basehttp 15304 26812 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 09:01:25,060 basehttp 15304 26812 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 09:01:55,049 basehttp 15304 26812 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 09:02:25,047 basehttp 15304 26812 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 11:23:20,651 autoreload 22196 14908 Watching for file changes with StatReloader
INFO 2026-07-07 11:23:48,130 basehttp 22196 25248 "OPTIONS /api/notifications/ HTTP/1.1" 200 0
INFO 2026-07-07 11:23:48,219 basehttp 22196 25248 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 11:24:17,809 basehttp 22196 25248 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 11:24:47,817 basehttp 22196 25248 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 11:25:17,799 basehttp 22196 25248 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 11:25:29,565 basehttp 22196 25248 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 11:25:29,570 basehttp 22196 25248 "OPTIONS /api/tasks/ HTTP/1.1" 200 0
INFO 2026-07-07 11:25:29,573 basehttp 22196 25248 "OPTIONS /api/tickets/ HTTP/1.1" 200 0
INFO 2026-07-07 11:25:29,576 basehttp 22196 25248 "OPTIONS /api/documents/ HTTP/1.1" 200 0
INFO 2026-07-07 11:25:29,579 basehttp 22196 25248 "OPTIONS /api/activity-logs/ HTTP/1.1" 200 0
INFO 2026-07-07 11:25:29,582 basehttp 22196 25248 "OPTIONS /api/tasks/ HTTP/1.1" 200 0
INFO 2026-07-07 11:25:29,586 basehttp 22196 25248 "OPTIONS /api/tickets/ HTTP/1.1" 200 0
INFO 2026-07-07 11:25:29,589 basehttp 22196 25248 "OPTIONS /api/documents/ HTTP/1.1" 200 0
INFO 2026-07-07 11:25:29,591 basehttp 22196 25248 "OPTIONS /api/activity-logs/ HTTP/1.1" 200 0
INFO 2026-07-07 11:25:29,605 basehttp 22196 25248 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 11:25:29,735 basehttp 22196 25248 "GET /api/tasks/ HTTP/1.1" 200 6119
INFO 2026-07-07 11:25:29,765 basehttp 22196 25248 "GET /api/tickets/ HTTP/1.1" 200 1848
INFO 2026-07-07 11:25:29,821 basehttp 22196 25248 "GET /api/documents/ HTTP/1.1" 200 52
INFO 2026-07-07 11:25:29,853 basehttp 22196 25248 "GET /api/activity-logs/ HTTP/1.1" 200 1399
INFO 2026-07-07 11:25:29,907 basehttp 22196 11136 "GET /api/documents/ HTTP/1.1" 200 52
INFO 2026-07-07 11:25:30,019 basehttp 22196 25248 "GET /api/activity-logs/ HTTP/1.1" 200 1399
INFO 2026-07-07 11:25:30,039 basehttp 22196 22908 "GET /api/tickets/ HTTP/1.1" 200 1848
INFO 2026-07-07 11:25:30,131 basehttp 22196 8380 "GET /api/tasks/ HTTP/1.1" 200 6119
INFO 2026-07-07 11:25:59,571 basehttp 22196 8380 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 11:26:11,510 basehttp 22196 22908 "OPTIONS /api/departments/ HTTP/1.1" 200 0
INFO 2026-07-07 11:26:11,516 basehttp 22196 24264 "OPTIONS /api/teams/ HTTP/1.1" 200 0
INFO 2026-07-07 11:26:11,542 basehttp 22196 25248 "OPTIONS /api/teams/ HTTP/1.1" 200 0
INFO 2026-07-07 11:26:11,543 basehttp 22196 11136 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2026-07-07 11:26:11,559 basehttp 22196 8380 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2026-07-07 11:26:11,581 basehttp 22196 18320 "OPTIONS /api/departments/ HTTP/1.1" 200 0
INFO 2026-07-07 11:26:11,676 basehttp 22196 25248 "GET /api/users/ HTTP/1.1" 200 892
INFO 2026-07-07 11:26:11,701 basehttp 22196 22908 "GET /api/departments/ HTTP/1.1" 200 1133
INFO 2026-07-07 11:26:11,881 basehttp 22196 25248 "GET /api/users/ HTTP/1.1" 200 892
INFO 2026-07-07 11:26:11,905 basehttp 22196 22908 "GET /api/departments/ HTTP/1.1" 200 1133
INFO 2026-07-07 11:26:12,002 basehttp 22196 24264 "GET /api/teams/ HTTP/1.1" 200 2186
INFO 2026-07-07 11:26:12,204 basehttp 22196 24264 "GET /api/teams/ HTTP/1.1" 200 2186
INFO 2026-07-07 11:26:29,681 basehttp 22196 24264 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 11:26:59,553 basehttp 22196 24264 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 11:27:29,553 basehttp 22196 24264 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 11:27:58,263 basehttp 22196 24264 "OPTIONS /api/users/3/ HTTP/1.1" 200 0
INFO 2026-07-07 11:27:58,301 basehttp 22196 24264 "PATCH /api/users/3/ HTTP/1.1" 200 302
INFO 2026-07-07 11:27:59,567 basehttp 22196 24264 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 11:28:14,352 basehttp 22196 24264 "OPTIONS /api/users/1/ HTTP/1.1" 200 0
INFO 2026-07-07 11:28:14,419 basehttp 22196 24264 "PATCH /api/users/1/ HTTP/1.1" 200 235
INFO 2026-07-07 13:50:13,710 interaction_logger 23740 13588 AI [CLASSIFY_TICKET] user=admin success=True duration=0ms
INFO 2026-07-07 13:50:13,719 interaction_logger 23740 13588 AI [RAG_CHAT] user=admin success=True duration=5ms
INFO 2026-07-07 14:43:07,162 autoreload 19936 22976 Watching for file changes with StatReloader
INFO 2026-07-07 14:47:50,744 basehttp 19936 23620 "OPTIONS /api/auth/register/ HTTP/1.1" 200 0
INFO 2026-07-07 14:47:51,562 basehttp 19936 23620 "POST /api/auth/register/ HTTP/1.1" 201 254
INFO 2026-07-07 14:47:51,565 basehttp 19936 23620 "OPTIONS /api/auth/token/ HTTP/1.1" 200 0
INFO 2026-07-07 14:47:52,368 basehttp 19936 23620 "POST /api/auth/token/ HTTP/1.1" 200 489
INFO 2026-07-07 14:47:52,371 basehttp 19936 23620 "OPTIONS /api/users/me/ HTTP/1.1" 200 0
INFO 2026-07-07 14:47:52,377 basehttp 19936 23620 "GET /api/users/me/ HTTP/1.1" 200 254
INFO 2026-07-07 14:47:53,926 basehttp 19936 23620 "OPTIONS /api/notifications/ HTTP/1.1" 200 0
INFO 2026-07-07 14:47:53,926 basehttp 19936 19580 "OPTIONS /api/tasks/ HTTP/1.1" 200 0
INFO 2026-07-07 14:47:53,930 basehttp 19936 19580 "OPTIONS /api/tickets/ HTTP/1.1" 200 0
INFO 2026-07-07 14:47:53,930 basehttp 19936 23620 "OPTIONS /api/documents/ HTTP/1.1" 200 0
INFO 2026-07-07 14:47:53,932 basehttp 19936 23620 "OPTIONS /api/activity-logs/ HTTP/1.1" 200 0
INFO 2026-07-07 14:47:53,936 basehttp 19936 23620 "OPTIONS /api/ai/interactions/ HTTP/1.1" 200 0
INFO 2026-07-07 14:47:53,939 basehttp 19936 23620 "OPTIONS /api/ai/agent/runs/ HTTP/1.1" 200 0
INFO 2026-07-07 14:47:53,942 basehttp 19936 19580 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 14:47:53,948 basehttp 19936 19580 "OPTIONS /api/tickets/ HTTP/1.1" 200 0
INFO 2026-07-07 14:47:53,950 basehttp 19936 19580 "OPTIONS /api/documents/ HTTP/1.1" 200 0
INFO 2026-07-07 14:47:53,953 basehttp 19936 19580 "OPTIONS /api/activity-logs/ HTTP/1.1" 200 0
INFO 2026-07-07 14:47:53,956 basehttp 19936 19580 "OPTIONS /api/ai/interactions/ HTTP/1.1" 200 0
INFO 2026-07-07 14:47:53,958 basehttp 19936 19580 "OPTIONS /api/ai/agent/runs/ HTTP/1.1" 200 0
INFO 2026-07-07 14:47:53,972 basehttp 19936 19580 "GET /api/documents/ HTTP/1.1" 200 52
INFO 2026-07-07 14:47:53,983 basehttp 19936 19580 "GET /api/tickets/ HTTP/1.1" 200 52
INFO 2026-07-07 14:47:53,999 basehttp 19936 23620 "GET /api/tasks/ HTTP/1.1" 200 6125
INFO 2026-07-07 14:47:54,006 basehttp 19936 23620 "GET /api/ai/interactions/ HTTP/1.1" 200 52
INFO 2026-07-07 14:47:54,011 basehttp 19936 23620 "GET /api/ai/agent/runs/ HTTP/1.1" 200 52
INFO 2026-07-07 14:47:54,017 basehttp 19936 23620 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 14:47:54,024 basehttp 19936 23620 "GET /api/documents/ HTTP/1.1" 200 52
WARNING 2026-07-07 14:47:54,026 log 19936 19580 Forbidden: /api/activity-logs/
WARNING 2026-07-07 14:47:54,027 basehttp 19936 19580 "GET /api/activity-logs/ HTTP/1.1" 403 63
INFO 2026-07-07 14:47:54,034 basehttp 19936 23620 "GET /api/tickets/ HTTP/1.1" 200 52
INFO 2026-07-07 14:47:54,057 basehttp 19936 23620 "GET /api/ai/interactions/ HTTP/1.1" 200 52
INFO 2026-07-07 14:47:54,082 basehttp 19936 23620 "GET /api/ai/agent/runs/ HTTP/1.1" 200 52
WARNING 2026-07-07 14:47:54,089 log 19936 23620 Forbidden: /api/activity-logs/
WARNING 2026-07-07 14:47:54,091 basehttp 19936 23620 "GET /api/activity-logs/ HTTP/1.1" 403 63
INFO 2026-07-07 14:47:54,093 basehttp 19936 19580 "GET /api/tasks/ HTTP/1.1" 200 6125
INFO 2026-07-07 14:48:07,728 basehttp 19936 19580 "OPTIONS /api/ai/chat/sessions/ HTTP/1.1" 200 0
INFO 2026-07-07 14:48:07,728 basehttp 19936 23620 "OPTIONS /api/ai/chat/sessions/ HTTP/1.1" 200 0
INFO 2026-07-07 14:48:07,733 basehttp 19936 19580 "GET /api/ai/chat/sessions/ HTTP/1.1" 200 52
INFO 2026-07-07 14:48:07,739 basehttp 19936 19580 "GET /api/ai/chat/sessions/ HTTP/1.1" 200 52
INFO 2026-07-07 14:48:13,288 basehttp 19936 19580 "GET /api/ai/agent/runs/ HTTP/1.1" 200 52
INFO 2026-07-07 14:48:13,294 basehttp 19936 19580 "GET /api/ai/agent/runs/ HTTP/1.1" 200 52
INFO 2026-07-07 14:48:18,788 basehttp 19936 19580 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2026-07-07 14:48:18,788 basehttp 19936 3904 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2026-07-07 14:48:18,793 basehttp 19936 23620 "GET /api/tickets/ HTTP/1.1" 200 52
WARNING 2026-07-07 14:48:18,795 log 19936 3904 Forbidden: /api/users/
WARNING 2026-07-07 14:48:18,796 basehttp 19936 3904 "GET /api/users/ HTTP/1.1" 403 63
INFO 2026-07-07 14:48:18,803 basehttp 19936 23620 "GET /api/tickets/ HTTP/1.1" 200 52
WARNING 2026-07-07 14:48:18,805 log 19936 3904 Forbidden: /api/users/
WARNING 2026-07-07 14:48:18,806 basehttp 19936 3904 "GET /api/users/ HTTP/1.1" 403 63
WARNING 2026-07-07 14:48:23,417 log 19936 1744 Forbidden: /api/activity-logs/
